id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-518092,2024-01-04,000001,Vente,302000,11,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000D0067,,,12,,3,60.57,,,,,,,2,3,Dépendance,,0,,,,,,2.471997,48.809629
2024-518092,2024-01-04,000001,Vente,302000,11,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000D0067,,,12,,3,60.57,,,,,,,2,2,Appartement,53,3,,,,,,2.471997,48.809629
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0231,,,,,,,,,,,,,0,,,,,T,terres,,,302,2.505535,48.818976
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0360,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,48,2.506129,48.819288
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0361,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,82,2.506131,48.819341
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0362,,,,,,,,,,,,,0,,,,,T,terres,,,1,2.506374,48.819633
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0363,,,,,,,,,,,,,0,,,,,T,terres,,,32,2.506593,48.820115
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0364,,,,,,,,,,,,,0,,,,,T,terres,,,796,2.506413,48.819916
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0365,,,,,,,,,,,,,0,,,,,T,terres,,,278,2.505491,48.818563
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0366,,,,,,,,,,,,,0,,,,,T,terres,,,598,2.505521,48.818711
2024-518093,2024-01-02,000002,Vente,,,,LES COURTILLES,B025,94500,94017,Champigny-sur-Marne,94,,,940170000U0367,,,,,,,,,,,,,0,,,,,T,terres,,,130,2.505832,48.818942
